title,genre,overview,content
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",animation action adventure teen miles morales becomes the spiderman of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities
Avengers: Endgame,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",action adventure drama after the devastating events of avengers infinity war  the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe
Avengers: Infinity War,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,action adventure scifi the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe
Coco,"Animation, Adventure, Family","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",animation adventure family aspiring musician miguel confronted with his familys ancestral ban on music enters the land of the dead to find his greatgreatgrandfather a legendary singer
Django Unchained,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",drama western with the help of a german bounty hunter a freed slave sets out to rescue his wife from a brutal mississippi plantation owner
The Dark Knight Rises,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",action adventure eight years after the jokers reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane
3 Idiots,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",comedy drama two friends are searching for their long lost companion they revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots
Taare Zameen Par,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",drama family an eightyearold boy is thought to be a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school
WALL·E,"Animation, Adventure, Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",animation adventure family in the distant future a small wastecollecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind
The Lives of Others,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",drama mystery thriller in  east berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives
Oldeuboi,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",action drama mystery after being kidnapped and imprisoned for fifteen years oh daesu is released only to find that he must find his captor in five days
Memento,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,mystery thriller a man with shortterm memory loss attempts to track down his wifes murderer
Mononoke-hime,"Animation, Action, Adventure","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",animation action adventure on a journey to find the cure for a tatarigamis curse ashitaka finds himself in the middle of a war between the forest gods and tatara a mining colony in this quest he also meets san the mononoke hime
Once Upon a Time in America,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",crime drama a former prohibitionera jewish gangster returns to the lower east side of manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life
Raiders of the Lost Ark,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",action adventure in  archaeologist and adventurer indiana jones is hired by the us government to find the ark of the covenant before adolf hitlers nazis can obtain its awesome powers
